"Data","Último","Abertura","Máxima","Mínima","Var%"
"30.12.2021","5,5710","5,6957","5,7039","5,5469","-2,32%"
"29.12.2021","5,7032","5,6356","5,7105","5,6235","1,33%"
"28.12.2021","5,6283","5,6262","5,6627","5,6195","0,06%"
"27.12.2021","5,6249","5,6701","5,7067","5,6236","-0,89%"
"24.12.2021","5,6753","5,6753","5,6753","5,6753","0,01%"
"23.12.2021","5,6749","5,6554","5,7193","5,6259","0,37%"
"22.12.2021","5,6540","5,7425","5,7442","5,6470","-1,59%"
"21.12.2021","5,7451","5,7417","5,7579","5,7112","0,05%"
"20.12.2021","5,7425","5,7141","5,7457","5,6899","0,81%"
"17.12.2021","5,6961","5,6887","5,7167","5,6610","0,14%"
"16.12.2021","5,6884","5,6693","5,7256","5,6589","0,14%"
"15.12.2021","5,6806","5,6873","5,7364","5,6574","-0,02%"
"14.12.2021","5,6815","5,6681","5,6986","5,6179","0,02%"
"13.12.2021","5,6804","5,6105","5,6813","5,6012","1,21%"
"10.12.2021","5,6127","5,5599","5,6358","5,5580","0,72%"
"09.12.2021","5,5727","5,5374","5,5999","5,5175","0,72%"
"08.12.2021","5,5327","5,6027","5,6364","5,5256","-1,43%"
"07.12.2021","5,6128","5,6890","5,6890","5,6085","-1,34%"
"06.12.2021","5,6891","5,6532","5,7029","5,6350","0,64%"
"03.12.2021","5,6532","5,6514","5,6864","5,6006","0,12%"
"02.12.2021","5,6462","5,6632","5,6790","5,6139","-0,87%"
"01.12.2021","5,6955","5,6243","5,6959","5,5770","1,27%"
"30.11.2021","5,6239","5,6037","5,6704","5,5778","0,40%"
"29.11.2021","5,6017","5,6085","5,6403","5,5794","-0,14%"
"26.11.2021","5,6098","5,6561","5,6561","5,5719","0,78%"
"25.11.2021","5,5664","5,5925","5,5991","5,5479","-0,71%"
"24.11.2021","5,6061","5,5712","5,6235","5,5540","0,63%"
"23.11.2021","5,5712","5,5854","5,6636","5,5672","-0,27%"
"22.11.2021","5,5865","5,6013","5,6144","5,5620","-0,48%"
"19.11.2021","5,6135","5,5782","5,6151","5,5208","1,01%"
"18.11.2021","5,5576","5,5291","5,5775","5,5237","0,51%"
"17.11.2021","5,5292","5,4986","5,5359","5,4655","0,48%"
"16.11.2021","5,5028","5,4591","5,5093","5,4296","0,83%"
"15.11.2021","5,4575","5,4570","5,4580","5,4570","-0,02%"
"12.11.2021","5,4588","5,4044","5,4686","5,3927","1,11%"
"11.11.2021","5,3989","5,4945","5,4945","5,3879","-1,68%"
"10.11.2021","5,4910","5,5010","5,5103","5,4357","0,19%"
"09.11.2021","5,4804","5,5477","5,5495","5,4559","-1,15%"
"08.11.2021","5,5440","5,5667","5,5979","5,5328","0,02%"
"05.11.2021","5,5428","5,5988","5,6075","5,5012","-1,06%"
"04.11.2021","5,6020","5,5880","5,6281","5,5627","0,89%"
"03.11.2021","5,5525","5,6807","5,7000","5,5447","-2,24%"
"02.11.2021","5,6795","5,6849","5,6849","5,6800","-0,04%"
"01.11.2021","5,6815","5,6221","5,6888","5,6206","0,79%"
"29.10.2021","5,6372","5,6464","5,6636","5,5972","-0,16%"
"28.10.2021","5,6464","5,5374","5,6636","5,5367","1,96%"
"27.10.2021","5,5380","5,5668","5,5924","5,5367","-0,51%"
"26.10.2021","5,5666","5,5557","5,6068","5,5466","0,19%"
"25.10.2021","5,5563","5,6533","5,6587","5,5367","-1,61%"
"22.10.2021","5,6474","5,6584","5,7547","5,6214","-0,18%"
"21.10.2021","5,6577","5,5987","5,6907","5,5979","1,08%"
"20.10.2021","5,5975","5,5851","5,6026","5,5198","0,23%"
"19.10.2021","5,5844","5,5128","5,6125","5,5128","1,32%"
"18.10.2021","5,5117","5,4576","5,5434","5,4576","0,93%"
"15.10.2021","5,4611","5,5139","5,5139","5,4337","-0,94%"
"14.10.2021","5,5132","5,5139","5,5308","5,4670","-0,00%"
"13.10.2021","5,5133","5,5368","5,5737","5,4988","-0,35%"
"12.10.2021","5,5325","5,5370","5,5372","5,5328","-0,08%"
"11.10.2021","5,5367","5,5073","5,5445","5,4946","0,52%"
"08.10.2021","5,5082","5,5187","5,5324","5,4768","-0,19%"
"07.10.2021","5,5188","5,4937","5,5295","5,4667","0,50%"
"06.10.2021","5,4912","5,4770","5,5381","5,4755","0,30%"
"05.10.2021","5,4748","5,4546","5,4879","5,4240","0,39%"
"04.10.2021","5,4535","5,3614","5,4593","5,3614","1,67%"
"01.10.2021","5,3639","5,4432","5,4432","5,3527","-1,45%"
"30.09.2021","5,4428","5,4120","5,4767","5,3668","0,50%"
"29.09.2021","5,4157","5,4286","5,4461","5,3920","-0,25%"
"28.09.2021","5,4293","5,3920","5,4521","5,3863","0,70%"
"27.09.2021","5,3914","5,3384","5,3945","5,3067","1,07%"
"24.09.2021","5,3344","5,3039","5,3549","5,3023","0,59%"
"23.09.2021","5,3030","5,2618","5,3124","5,2561","0,27%"
"22.09.2021","5,2888","5,2706","5,3191","5,2495","0,36%"
"21.09.2021","5,2699","5,3252","5,3374","5,2626","-1,02%"
"20.09.2021","5,3240","5,2851","5,3779","5,2849","0,68%"
"17.09.2021","5,2883","5,2568","5,3472","5,2509","0,66%"
"16.09.2021","5,2535","5,2375","5,2801","5,2315","0,61%"
"15.09.2021","5,2219","5,2408","5,2722","5,2148","-0,34%"
"14.09.2021","5,2398","5,2393","5,2642","5,1980","0,48%"
"13.09.2021","5,2147","5,2490","5,2659","5,2017","-0,58%"
"10.09.2021","5,2454","5,1677","5,2712","5,1637","0,92%"
"09.09.2021","5,1976","5,3252","5,3347","5,1930","-2,33%"
"08.09.2021","5,3214","5,2016","5,3344","5,1955","2,94%"
"07.09.2021","5,1692","5,1705","5,1708","5,1704","-0,00%"
"06.09.2021","5,1693","5,1920","5,2126","5,1547","-0,44%"
"03.09.2021","5,1923","5,1830","5,2017","5,1310","0,20%"
"02.09.2021","5,1819","5,1864","5,2013","5,1420","-0,08%"
"01.09.2021","5,1858","5,1694","5,1984","5,1417","0,71%"
"31.08.2021","5,1492","5,1845","5,1973","5,1154","-0,67%"
"30.08.2021","5,1840","5,1999","5,2266","5,1817","-0,30%"
"27.08.2021","5,1996","5,2577","5,2615","5,1869","-1,00%"
"26.08.2021","5,2522","5,2097","5,2676","5,2097","0,78%"
"25.08.2021","5,2117","5,2482","5,2709","5,2058","-0,66%"
"24.08.2021","5,2463","5,3801","5,3828","5,2452","-2,49%"
"23.08.2021","5,3802","5,3795","5,4023","5,3440","0,06%"
"20.08.2021","5,3770","5,4155","5,4757","5,3656","-0,69%"
"19.08.2021","5,4142","5,4187","5,4560","5,3795","0,65%"
"18.08.2021","5,3794","5,2839","5,3974","5,2625","1,60%"
"17.08.2021","5,2948","5,2820","5,3046","5,2358","0,67%"
"16.08.2021","5,2595","5,2439","5,2971","5,2285","0,25%"
"13.08.2021","5,2466","5,2532","5,2816","5,2198","-0,11%"
"12.08.2021","5,2524","5,2193","5,2618","5,2089","0,65%"
"11.08.2021","5,2185","5,1898","5,2347","5,1636","0,56%"
"10.08.2021","5,1895","5,2334","5,2631","5,1847","-0,83%"
"09.08.2021","5,2331","5,2325","5,2993","5,2146","0,06%"
"06.08.2021","5,2301","5,2467","5,2757","5,2049","-0,36%"
"05.08.2021","5,2488","5,1700","5,2586","5,1101","1,55%"
"04.08.2021","5,1685","5,1975","5,2463","5,1649","-0,54%"
"03.08.2021","5,1967","5,1708","5,2750","5,1651","0,43%"
"02.08.2021","5,1747","5,2158","5,2193","5,1136","-0,72%"
